,0,1,2,3,4,5,6,7
0,-1518.6222217824725,84017.16757025332,-18401.006567598175,-21231.944409840635,-16775.833579997252,-18586.615453555045,-3392.771290871059,-14331.089178453587
1,-1507.379294321453,84027.87405584742,-18317.20987763523,-21181.787095282925,-16753.571242519767,-18571.595081281077,-3189.3480645833097,-14177.487990556716
2,-1508.0051431662016,84028.4328494588,-18332.520822587114,-21196.583950112337,-16758.868605955675,-18564.598985266566,-3096.297752415866,-14117.853536349958
3,-1515.4929775587295,84021.39204995538,-18416.809250928076,-21237.01825583199,-16776.012393952893,-18564.710743988842,-3273.45767896863,-14245.81727335659
4,-1521.572652050573,84013.52423590711,-18427.269867333158,-21237.889973865746,-16776.638242797642,-18567.57176727912,-3390.558468169984,-14325.925925484411
5,-1513.056637413101,84023.35900346744,-18344.657819826345,-21191.1524762097,-16764.188321136036,-18561.559148020646,-3223.456826622108,-14206.120575203966
6,-1514.375390335964,84022.75550636716,-18332.498470842656,-21192.493580877017,-16759.36034433369,-18557.87111018552,-3090.463947113031,-14118.74760612817
7,-1529.35105912102,84006.59519512596,-18411.48953574771,-21237.15236629872,-16773.061963684795,-18575.01489818274,-3228.6424313357393,-14219.688084088337
8,-1536.9059487469137,84002.7730468241,-18434.8024052146,-21242.136805312253,-16785.310719646302,-18580.24520638528,-3384.612904144872,-14316.493489324272
9,-1530.2898323881427,84010.50675040565,-18356.63835485439,-21197.85799954629,-16779.163989921093,-18582.212159897346,-3268.137963788267,-14220.783319566646
10,-1522.3102596175981,84015.44648593027,-18323.736587016178,-21183.66464181717,-16771.45263808401,-18569.15874113545,-3097.3482844052655,-14110.276294979609
11,-1523.5619573070953,84012.29488996207,-18391.77529713813,-21222.422566702673,-16771.497341572922,-18566.789456223185,-3190.644465761717,-14190.675519785347
12,-1526.8700154864807,84011.89255856187,-18428.36510281147,-21235.49833720903,-16782.404992867112,-18579.351136607067,-3376.4768691631402,-14324.137785927986
13,-1521.2373758837434,84020.05094528807,-18360.080523500506,-21197.47801989055,-16780.37098412168,-18571.304508603156,-3303.744292705571,-14267.140837566953
14,-1519.5609950495952,84019.49215167668,-18307.57627577499,-21174.701592290592,-16767.18345489305,-18572.399744081467,-3108.7700258219274,-14132.717446412737
15,-1523.1372741624446,84015.9829277972,-18365.891977058887,-21207.357490939798,-16774.93951021904,-18577.093610417083,-3152.132410065223,-14170.916577686856
16,-1528.568748065084,84006.55049163706,-18419.31264630707,-21224.81420335939,-16789.825772026274,-18562.81084571014,-3344.290357147498,-14304.624713018504
17,-1517.8399107265368,84017.8828260759,-18355.87839554291,-21180.356583637786,-16777.621719553677,-18562.14029337648,-3314.070798643923,-14273.421677758895
18,-1511.7825879791485,84027.60583491395,-18295.14870585784,-21152.10397864628,-16775.073620685773,-18572.824427226118,-3118.984773038003,-14139.355914515963
19,-1514.6659630138831,84022.10730577794,-18342.959087247742,-21183.23995867252,-16782.963786478496,-18578.345308106578,-3113.8662235577376,-14141.546385472582
20,-1524.8807102299584,84011.91491030632,-18416.093995105504,-21227.876392349768,-16796.911275018607,-18577.652404028464,-3320.0610661579453,-14283.457611019328
21,-1524.6124892964947,84015.44648593027,-18374.407991696356,-21198.886179791236,-16793.69262381704,-18571.706840003353,-3349.833589772414,-14295.169925113909
22,-1519.896271216425,84023.20254125627,-18303.66472049531,-21163.23514738502,-16780.281577143858,-18575.77485749422,-3142.5658634383517,-14145.726161685725
23,-1506.3511140765088,84030.55626518205,-18333.213726665228,-21192.15830471019,-16771.765562506385,-18576.91479646144,-3074.5718568053076,-14106.163573999833
24,-1511.1343873899445,84018.82159934302,-18413.59059972651,-21243.34379951284,-16782.717917289487,-18581.988642452794,-3286.8016704084484,-14267.319651522595
25,-1519.3598293494977,84010.2832329611,-18384.622738912432,-21226.825860360368,-16775.78887650834,-18584.067354687137,-3362.194104456199,-14307.105756653042
26,-1509.3909513224307,84018.86630283193,-18300.91545592731,-21181.541226093916,-16764.6577077696,-18572.645613270477,-3172.6066079862844,-14161.819417693547
27,-1501.7690064631709,84027.3823174694,-18311.688996754765,-21192.225359943553,-16772.212597395494,-18577.63005228401,-3082.3279121312994,-14105.31420771053
28,-1519.1363119049445,84011.22200622821,-18412.83064041503,-21254.944354885145,-16798.386490152658,-18593.343328636092,-3291.517888488518,-14273.198160314341
29,-1529.060486443101,84001.61075611244,-18413.97057938225,-21246.473043736583,-16790.451620871023,-18602.284026418212,-3410.160948057288,-14344.924908271421
30,-1518.1081316600005,84011.02084052812,-18326.888182984374,-21193.63351984424,-16760.254414111903,-18580.424020340924,-3242.768733831493,-14215.128328219454
31,-1517.2364136262433,84010.70791610575,-18309.610284520422,-21185.899816262703,-16760.388524578633,-18582.569787808632,-3086.9547232335476,-14109.426928690307
32,-1518.8457392270254,84004.6282416139,-18389.473067459236,-21230.893877851235,-16773.777219507363,-18584.648500042975,-3227.033105734957,-14214.994217752723
33,-1522.6455357844277,84000.69433458976,-18420.944323652308,-21244.39433150224,-16785.02014696838,-18582.212159897346,-3411.5914597024275,-14347.405951905961
34,-1515.8506054700144,84008.4280381713,-18337.035874967085,-21191.71126982108,-16758.68979200003,-18573.53968304869,-3284.36533026282,-14257.216663028797
35,-1513.0342856686457,84012.04902077306,-18299.28377858207,-21178.836665014824,-16754.01827740887,-18568.488188801788,-3080.5174208304193,-14114.053739792555
36,-1528.6581550429053,83992.58065135249,-18387.72963139172,-21234.53721219745,-16773.620757296176,-18577.96532845084,-3182.9554656690916,-14201.158487934887
37,-1530.513349832696,83992.84887228595,-18423.02303588665,-21240.23690703355,-16769.306870616303,-18581.72042151933,-3362.4399736452074,-14330.463329608838
38,-1514.576556036062,84013.36777369592,-18347.45178788326,-21191.75597330999,-16754.88999544263,-18583.508561075756,-3266.2827689984765,-14254.288584505151
39,-1506.44052105433,84022.77785811161,-18303.217685606203,-21171.7958655114,-16748.855024439697,-18582.748601764277,-3075.2200573945115,-14130.906955111857
40,-1510.8438147120255,84018.24045398718,-18373.022183540128,-21211.62667413076,-16771.720859017474,-18587.621282055534,-3139.0566395588685,-14189.513229073673
41,-1518.6445735269278,84007.3775061819,-18437.015227915672,-21243.053226834923,-16781.399164366623,-18589.051793700673,-3347.9560432381686,-14339.336972157595
42,-1519.3598293494977,84013.70304986276,-18374.34093646299,-21197.29920593491,-16774.22425439647,-18587.196598910883,-3315.054275399956,-14303.015387417721
43,-1507.4239978103635,84026.9799860692,-18310.973740932197,-21163.548071807396,-16756.49932104341,-18581.385145352502,-3091.7827000358943,-14143.870966895935
44,-1508.2286606107546,84022.62139590042,-18364.461465413748,-21199.601435613804,-16773.97838520746,-18573.874959215518,-3084.56308657683,-14147.737818686703
45,-1509.860337955992,84018.17339875382,-18435.092977892517,-21232.078520307365,-16792.21740868299,-18566.610642267544,-3311.9026794317583,-14312.984265444788
46,-1511.961401934791,84020.05094528807,-18395.50803846217,-21203.512990893483,-16779.722783532474,-18563.01201141024,-3344.5585780809615,-14320.561506815136
47,-1502.05957914109,84028.20933201424,-18317.947485202254,-21165.71619101956,-16751.447826796513,-18565.381296322503,-3140.9565378375696,-14176.146885889399
48,-1502.8195384525704,84024.47659069022,-18349.329334417504,-21192.985319255033,-16766.244681625925,-18577.473590072823,-3076.0917754282686,-14139.065341838044
49,-1514.6212595249724,84014.10538126295,-18435.36119882598,-21234.805433130914,-16783.27671090087,-18577.45123832837,-3261.8347718518703,-14268.481942234272
50,-1504.3394570755313,84025.25890174614,-18414.484669504724,-21206.262255461486,-16773.732516018452,-18561.939127676385,-3354.6392148303053,-14322.327294627106
51,-1491.0178173801683,84037.97704434121,-18337.594668578466,-21168.89013873221,-16770.826789239265,-18563.324935832614,-3178.7756894559493,-14195.212923909776
52,-1491.8448319250147,84036.05479431806,-18341.10389245795,-21181.988260983024,-16775.475952085966,-18575.551340049667,-3068.9392172025705,-14130.683437667303
53,-1494.571744748562,84031.1821140268,-18416.764547439165,-21222.646084147225,-16776.906463731106,-18582.59213955309,-3234.3868296607534,-14254.445046716339
54,-1499.958515162291,84027.73994538069,-18417.815079428565,-21212.72190960907,-16767.18345489305,-18569.650479513464,-3368.0949649924,-14340.678076824914
55,-1487.9779801342465,84038.3346722525,-18329.011598707628,-21160.128254905732,-16748.89972792861,-18553.937203161386,-3200.4792333220526,-14207.19345893782
56,-1483.6193899654616,84043.7884978996,-18317.835726479974,-21164.777417752437,-16755.337030331735,-18569.38225858,-3054.2988245843444,-14115.730120626704
57,-1491.6883697138273,84031.91972159383,-18399.285483275115,-21214.800621843413,-16768.569263049278,-18567.191787623382,-3195.4500908196082,-14229.276982459663
58,-1497.5892302500285,84025.21419825724,-18427.515736522168,-21231.139747040244,-16775.967690463985,-18571.796246981175,-3377.996787786101,-14350.22227170733
59,-1486.4357097668303,84040.45808797576,-18345.663648326834,-21184.37989763974,-16764.83652172524,-18581.452200585867,-3269.8813998557807,-14258.736581651758
60,-1474.4328229943303,84050.27050379163,-18303.776479217588,-21166.967888709056,-16768.189283393538,-18568.5328922907,-3085.725377288506,-14133.790330146592
61,-1489.3861400349308,84036.30066350706,-18381.31468073305,-21220.835592846346,-16800.442850642547,-18578.837046484598,-3170.2596748184774,-14203.013682724677
62,-1499.0644453840787,84026.66706164683,-18436.255268604193,-21249.177604815675,-16795.413708140102,-18580.468723829832,-3372.6323691168272,-14345.327239671618
63,-1491.0401691246236,84037.50765770765,-18359.58878512249,-21199.78024956945,-16762.333126346246,-18573.11499990404,-3308.527566019007,-14289.82785818909
64,-1479.9760556192466,84047.70005317927,-18298.27795008158,-21173.449894601097,-16748.519748272865,-18574.59021503809,-3099.1587757061457,-14143.80391166257
65,-1487.0392068671235,84037.50765770765,-18362.40510492386,-21224.367168470286,-16757.527501288354,-18579.61935754053,-3157.1615525676675,-14200.554990834593
66,-1497.8127476945815,84031.49503844918,-18416.78689918362,-21248.171776315186,-16772.79374275133,-18575.618395283032,-3362.7976015564923,-14346.087198983098
67,-1491.286038313632,84036.54653269608,-18360.035820011595,-21205.077613005356,-16768.904539216106,-18576.40070633897,-3335.8861012323027,-14303.373015329005
68,-1482.6135614649727,84043.47557347722,-18293.42762153478,-21174.165150423665,-16750.5537570183,-18566.275366100715,-3125.153854507668,-14152.141112344398
69,-1491.218983080266,84032.79143962759,-18340.142767446374,-21215.1582497547,-16759.092123400227,-18576.3336511056,-3097.303580916355,-14147.626059964427
70,-1500.8525849405034,84023.09078253398,-18423.4477190313,-21266.16493060171,-16777.46525734249,-18582.59213955309,-3309.712208475138,-14309.229172376297
71,-1499.4667767842743,84024.47659069022,-18391.462372715756,-21239.521651210984,-16765.5070740589,-18576.668927272432,-3364.6974998351934,-14339.225213435318
72,-1490.414320279875,84033.9313785948,-18309.14089788686,-21191.95713901009,-16742.64123948112,-18574.59021503809,-3157.049793845391,-14186.13811566092
73,-1492.895363914414,84035.71951815124,-18332.274953398104,-21211.134935752743,-16747.04453313882,-18573.11499990404,-3068.3804235911875,-14125.587239931494
74,-1500.7408262182269,84023.51546567863,-18421.59252424151,-21260.420532276694,-16769.08335317175,-18584.045002942683,-3265.1204782868003,-14272.460552747316
75,-1502.0372273966345,84022.15200926687,-18408.852029901987,-21244.707255924615,-16766.199978137014,-18577.25007262827,-3374.2416947176093,-14346.333068172107
76,-1493.252991825699,84032.34440473848,-18320.24971488115,-21199.53438038044,-16748.966783161974,-18566.05184865616,-3187.5375732824295,-14208.065176971577
77,-1483.284113798632,84040.07810832001,-18308.738566486667,-21198.394441413217,-16736.002771377895,-18546.248203068757,-3045.916920413604,-14119.574620673016
78,-1489.989637135224,84029.86336110394,-18390.523599448636,-21243.54496521294,-16751.31371632978,-18558.318145074623,-3192.1420326402226,-14229.880479559957
79,-1494.3929307929195,84024.58834941249,-18412.517715992657,-21251.435131005663,-16752.677172741554,-18559.52513927521,-3358.1707904542436,-14348.434132150905
80,-1483.1500033319,84034.087840806,-18328.072825440508,-21200.048470502912,-16742.104797614193,-18554.317182817125,-3210.9622014715915,-14230.036941771144
81,-1476.6456456954058,84038.02174783013,-18308.559752531022,-21197.500371635007,-16744.250565081904,-18561.313278831636,-3044.5534640018304,-14109.002245545656
82,-1480.4901457417186,84032.94790183878,-18386.992023824696,-21241.578011700873,-16754.308850086793,-18564.397819566468,-3170.43848877412,-14203.706586802791
83,-1478.2996747850984,84039.80988738655,-18411.377777025435,-21242.270915778987,-16738.282649312336,-18556.82057819612,-3342.6363280578053,-14320.78502425969
84,-1478.3890817629197,84044.48140197771,-18346.11068321594,-21203.803563571404,-16734.952239388494,-18567.303546345658,-3253.005832792024,-14257.127256050975
85,-1471.348282259498,84049.95757936926,-18299.462592537715,-21181.273005160452,-16734.7510736884,-18566.52123528972,-3049.5826065042743,-14113.427890947807
86,-1474.9692648612577,84043.87790487742,-18374.184474251804,-21230.066863306387,-16750.576108762754,-18568.5328922907,-3131.1217702772346,-14178.918502201857
87,-1483.440576009819,84040.99452984269,-18422.01720738616,-21249.87050889379,-16761.774332734865,-18574.947842949372,-3342.010479213057,-14331.916192998433
88,-1483.127651587445,84042.71561416575,-18357.286555443592,-21207.40219442871,-16758.37686757766,-18578.18884589539,-3289.1039000873448,-14284.575198242093
89,-1480.3336835305315,84045.82250664502,-18304.089403639962,-21180.490694104516,-16757.5051495439,-18572.04211617018,-3084.9654179770255,-14141.41227500585
90,-1488.6932359568164,84039.60872168645,-18368.037744526595,-21215.135898010245,-16783.142600434137,-18581.407497096956,-3105.014932753436,-14158.287842069609
91,-1490.414320279875,84037.9323408523,-18436.769358726666,-21243.008523346012,-16791.144524949137,-18581.407497096956,-3328.42061858423,-14324.02602720571
92,-1486.1451370889113,84041.30745426506,-18383.996890067683,-21202.52951413745,-16770.826789239265,-18573.53968304869,-3331.4381040856965,-14319.22040214782
93,-1477.249142795699,84049.13056482442,-18306.86101995242,-21160.843510728304,-16744.719951715466,-18561.20152010936,-3115.9672875365363,-14166.759153218169
94,-1479.1490410744002,84046.3365967675,-18349.26227918414,-21195.28754893393,-16760.500283300913,-18571.952709192363,-3089.1004907012575,-14161.640603737904
95,-1493.3871022924309,84032.2326460162,-18428.141585366917,-21238.895802366234,-16779.543969576833,-18584.849665743073,-3302.4925950160737,-14318.50514632525
96,-1500.0032186512017,84028.11992503643,-18397.653805929876,-21212.05135727541,-16776.861760242195,-18563.213177110338,-3353.9910142411013,-14341.21451869184
