,0,1,2,3,4,5,6,7
0,-809.4013702155794,87076.69670304022,-16860.747857182963,-18481.919882526385,-15121.960952515718,-15734.689323269049,-1943.551235622315,-12799.547648375947
1,-801.0865212782052,87088.38666539034,-16785.310719646302,-18441.351466340002,-15095.965873714194,-15726.374474331675,-1743.1901983249425,-12647.444027357582
2,-802.2935154787917,87086.71028455619,-16814.747967093943,-18471.302803910115,-15096.27879813657,-15726.620343520683,-1692.2952762002083,-12626.209870125042
3,-812.061227805761,87072.69574078271,-16892.643796520686,-18516.363920732012,-15110.762728543608,-15736.008076191913,-1885.2802378273295,-12779.140505688252
4,-811.7930068722972,87074.41682510577,-16875.701174223563,-18495.643853621943,-15109.42162387629,-15732.54355580134,-1963.5783986542701,-12824.894526588265
5,-807.2556027478698,87078.99893271911,-16802.14158322115,-18456.215376402783,-15109.533382598565,-15740.523128571884,-1778.2377336308639,-12675.316652693351
6,-803.6793236350208,87080.98823797563,-16812.401033926133,-18472.576853344068,-15112.439109377756,-15749.73204728747,-1685.2321249523313,-12619.213774110529
7,-809.8260533602302,87072.98631346063,-16885.558293528353,-18514.128746286482,-15118.407025147322,-15749.039143209357,-1845.0023943188662,-12741.410761047693
8,-808.6637626485542,87071.13111867085,-16888.888703452194,-18508.85373459503,-15120.485737381667,-15737.68445702606,-1974.1060702927198,-12830.68362840219
9,-804.6851521355096,87076.31672338447,-16807.438946657057,-18457.198853158814,-15107.879353508873,-15732.320038356787,-1821.0189725183218,-12713.247563034007
10,-808.1049690371716,87076.11555768437,-16790.339862148747,-18455.835396747043,-15103.297245895536,-15745.015829207401,-1674.95032250289,-12613.044692640864
11,-815.413989474057,87066.03492093502,-16869.867368920728,-18503.578722903578,-15121.715083326708,-15732.811776734803,-1802.2435071758637,-12707.413757731172
12,-817.7162191529536,87064.6044092899,-16895.81774423334,-18508.18318226137,-15121.603324604432,-15727.782634232359,-1971.066233046798,-12824.022808554508
13,-813.1341115396157,87070.5052698261,-16822.61578114221,-18460.015172960186,-15102.872562750885,-15730.889526711648,-1860.2239322929304,-12739.890842424733
14,-803.5899166571995,87079.02128446357,-16778.806362009807,-18438.155166882894,-15093.12720216837,-15731.73889300095,-1676.5149446147616,-12610.317779817316
15,-805.5121666803559,87076.38377861783,-16851.80715940084,-18483.372745915978,-15107.588780830954,-15735.44928258053,-1759.7304892218697,-12678.065917261352
16,-808.6190591596436,87073.99214196112,-16899.617540790743,-18504.204571748327,-15116.060091979516,-15735.292820369343,-1954.7047561055133,-12824.58160216589
17,-805.0204283023392,87079.66948505277,-16836.630324915688,-18463.233824161747,-15115.27778092358,-15742.534785572861,-1892.0975198861981,-12770.95976721761
18,-803.4781579349229,87082.01641822058,-16785.7130510465,-18443.69839950781,-15111.455632621723,-15748.50270134243,-1706.8686135850685,-12638.682143531101
19,-813.3576289841687,87068.67242678076,-16846.66625817612,-18486.591397117543,-15127.347722929446,-15760.863216026213,-1754.1872565969536,-12685.88902782071
20,-813.8046638732749,87062.83862147792,-16901.5397908139,-18510.17248751789,-15134.5226328996,-15744.032352451368,-1941.941910021533,-12813.718654360611
21,-806.1380155251045,87071.10876692638,-16851.069551833814,-18471.727487054766,-15115.098966967937,-15739.293782626843,-1926.4745028584605,-12790.67400582719
22,-797.219669487437,87081.32351414247,-16790.339862148747,-18443.117254151974,-15095.675301036275,-15744.233518151465,-1734.3612592650961,-12661.637385086702
23,-799.1642712550487,87077.43431060723,-16830.349484723745,-18470.051106220617,-15108.438147120256,-15747.675686797582,-1717.6421544125265,-12660.899777519677
24,-807.2779544923252,87069.0524064365,-16900.422203591133,-18507.669092138898,-15125.760749073119,-15744.345276873742,-1903.2063368804859,-12793.803250050933
25,-802.1817567565151,87076.38377861783,-16870.068534620827,-18478.36595515799,-15115.680112323775,-15737.930326215068,-1949.452096158516,-12821.318247475416
26,-790.0000560283728,87087.44789212322,-16795.391356395645,-18431.762567968675,-15101.151478427826,-15730.73306450046,-1765.2290183578752,-12683.117411508252
27,-793.799852585775,87081.39056937583,-16814.345635693746,-18448.45932107679,-15103.99014997365,-15729.503718555417,-1695.2233547238536,-12637.385742352693
28,-809.6248876601325,87065.87845872385,-16898.008215189962,-18499.488353668257,-15123.27970543858,-15743.384151862163,-1880.0275778803323,-12774.916025986198
29,-808.8872800931073,87065.11849941236,-16887.726412740518,-18486.099658739528,-15117.021216991094,-15744.010000706912,-1967.869933589689,-12828.11317778983
30,-801.734721867409,87073.2545343941,-16808.04244375735,-18437.752835482697,-15107.052338964028,-15744.635849551662,-1796.364998384118,-12696.260237247972
31,-803.4781579349229,87070.61702854837,-16811.641074614654,-18451.119178666973,-15117.065920480005,-15758.851559025235,-1681.432328394929,-12615.97277116451
32,-809.6025359156771,87061.31870285496,-16892.77790698742,-18503.355205459025,-15124.620810105898,-15765.400620150642,-1849.6292054211146,-12754.553586787413
33,-812.798835372786,87059.21763887616,-16888.128744140715,-18499.108374012518,-15122.631504849376,-15745.954602474523,-1975.5365819378594,-12843.558233208447
34,-809.8931085935961,87065.16320290127,-16807.03661525686,-18452.527338567656,-15115.009559990116,-15740.277259382876,-1833.4241906910172,-12725.161042828686
35,-799.7230648664314,87075.84733675091,-16785.824809768776,-18444.301896608104,-15108.482850609167,-15739.964334960501,-1698.6431716255156,-12630.009666682443
36,-812.5529661837777,87062.61510403336,-16858.356220526246,-18491.84405706454,-15124.509051383622,-15743.719428028993,-1813.7546555703468,-12716.577972957848
37,-816.1068935521715,87058.32356909795,-16890.699194753077,-18507.780850861174,-15123.346760671946,-15736.790387247847,-1984.2090587865187,-12839.49021571758
38,-813.5587946842664,87061.87749646635,-16818.167783995603,-18463.680859050855,-15116.305961168524,-15728.296724354832,-1884.6320372381256,-12760.901482212721
39,-803.8581375906632,87072.06989193796,-16773.240777640436,-18440.390341328424,-15110.762728543608,-15728.87786971067,-1688.2272587093425,-12619.861974699734
40,-805.5345184248113,87069.83471749243,-16843.067627318815,-18488.491295396245,-15114.495469867645,-15739.249079137931,-1770.4146230715064,-12694.382690713728
41,-814.4528644624787,87061.58692378842,-16887.77111622943,-18510.32894972908,-15119.479908881178,-15741.953640217023,-1957.2528549734182,-12835.422198226715
42,-807.2779544923252,87069.36533085887,-16821.833470086272,-18463.904376495408,-15105.890048252351,-15736.455111081019,-1892.2763338418406,-12776.994738220543
43,-799.767768355342,87075.82498500646,-16769.59744329422,-18443.810158230088,-15088.120411410382,-15741.104273927722,-1707.5838694076383,-12645.298259889872
44,-802.7181986234425,87073.43334834973,-16820.17944099658,-18481.763420315197,-15095.451783591723,-15734.756378502416,-1743.7042884474147,-12680.435202173616
45,-811.9047655945737,87062.3468830999,-16883.010194660448,-18512.385310218968,-15124.106719983427,-15735.650448280627,-1938.3432791642285,-12818.25605848504
46,-805.3780562136241,87070.68408378173,-16837.27852550489,-18477.89656852443,-15108.952237242727,-15724.765148730892,-1939.5055698759045,-12811.036445025975
47,-801.7570736118644,87076.94257222922,-16766.5576060483,-18438.177518627348,-15094.93769346925,-15720.563020773296,-1745.1795035814648,-12672.857960803267
48,-803.4781579349229,87074.05919719448,-16804.33205417777,-18466.944213741328,-15105.152440685326,-15732.58825929025,-1714.5352619332389,-12657.994050740488
49,-813.3352772397134,87064.29148486751,-16884.306595838858,-18512.564124174613,-15118.295266425046,-15739.047913437835,-1922.9876307234326,-12819.552459663446
50,-814.2740505068363,87064.31383661197,-16856.925708881106,-18487.37370817348,-15112.640275077854,-15731.224802878476,-1967.7581748674127,-12835.802177882455
51,-802.1147015231493,87077.65782805179,-16775.945338719528,-18439.138643638926,-15091.808449245507,-15720.250096350921,-1773.8567917176238,-12682.022176029943
52,-805.3780562136241,87072.98631346063,-16794.877266273175,-18458.875233992963,-15108.03581572006,-15729.235497621954,-1703.0017617943004,-12633.07185567282
53,-821.2924982658027,87057.80947897548,-16876.796409701874,-18502.125859513984,-15133.829728821485,-15741.68541928356,-1876.071319111743,-12760.879130468265
54,-820.9348703545178,87058.83765922043,-16877.846941691274,-18491.41937391989,-15131.594554375954,-15744.010000706912,-1984.969018097999,-12838.640849428279
55,-809.9154603380514,87071.6005053044,-16793.826734283775,-18442.066722162574,-15119.099929225438,-15732.051817423324,-1825.5787283872044,-12720.266010792973
56,-804.5957451576884,87074.43917685022,-16783.634338812153,-18446.157091397894,-15114.920153012295,-15732.945887201535,-1700.4313111819401,-12633.78711149539
57,-806.8309196032191,87067.82306049146,-16855.741066424976,-18494.213341976803,-15120.105757725927,-15738.779692504371,-1855.5747694462264,-12757.19109263314
58,-812.5976696726883,87061.22929587714,-16870.00147938746,-18491.95581578682,-15128.688827596765,-15737.68445702606,-2001.4646055060157,-12859.606785727357
59,-805.8474428471856,87070.19234540372,-16791.300987160324,-18437.439911060323,-15116.194202446248,-15736.097483169733,-1859.553379959271,-12742.863624437288
60,-794.962143297451,87080.89883099782,-16762.89191995763,-18427.31457082207,-15113.4672896227,-15735.82926223627,-1692.6082006225827,-12620.7783962224
61,-808.8425766041967,87069.0077029476,-16842.66529591862,-18482.05399299312,-15136.400179433846,-15751.184910677066,-1815.7439608268692,-12720.690693937624
62,-822.7230099109423,87057.38479583083,-16881.691441737585,-18501.5670659026,-15153.812188364529,-15763.50072187194,-1991.7192449235017,-12845.97222160962
63,-815.9057278520737,87064.69381626771,-16811.104632747727,-18455.209547902294,-15133.4721009102,-15755.431742123574,-1899.3394850897178,-12766.757639260011
64,-808.8425766041967,87072.31576112697,-16764.009507180395,-18429.572097012056,-15115.881278023873,-15745.485215840963,-1711.7859973652362,-12628.243878870473
65,-809.5131289378559,87070.549973315,-16824.80625209883,-18469.604071331512,-15125.358417672924,-15739.629058793673,-1779.4447278314506,-12680.390498684705
66,-811.7483033833865,87066.1019761684,-16875.4329532901,-18492.402850675924,-15137.696580612253,-15741.39484660564,-1975.0224918153874,-12820.11125327483
67,-803.5899166571995,87078.61895306337,-16811.909295548117,-18444.771283241666,-15119.32344666999,-15730.375436589175,-1928.776732537357,-12783.05206096793
68,-790.670608362032,87091.13592995834,-16741.143672602615,-18404.381681010924,-15097.910475481805,-15729.816642977792,-1722.6489451705154,-12631.887213216689
69,-792.056416518261,87086.53147060054,-16796.061908729305,-18444.771283241666,-15116.261257679613,-15741.68541928356,-1741.558520979705,-12653.344887893783
70,-803.0534747902722,87077.43431060723,-16867.699249708563,-18483.976243016274,-15132.153347987336,-15746.35693387472,-1952.4695816599826,-12815.909125317232
71,-799.767768355342,87080.00476121959,-16823.733368364974,-18446.000629186707,-15116.976513502183,-15740.813701249803,-1961.030299786365,-12817.250229984551
72,-785.8426315596857,87090.9571160027,-16746.955126160996,-18400.112497819962,-15090.042661433537,-15726.888564454148,-1755.39425079754,-12662.442047887094
73,-787.25079146037,87087.06791246748,-16781.42151611108,-18430.332056323536,-15094.55771381351,-15733.817605235292,-1721.7325236478478,-12644.895928489677
74,-806.7191608809425,87065.9008104683,-16861.351354283255,-18478.99180400274,-15122.89972578284,-15752.749532788937,-1919.2101859104857,-12791.948055261142
75,-806.6744573920319,87067.13015641335,-16840.698342406555,-18453.28729787914,-15121.80449030453,-15737.550346559328,-1971.5579714248147,-12813.696302616156
76,-795.7221026089314,87080.02711296406,-16765.730591503452,-18404.56049496657,-15102.425527861778,-15722.708788241005,-1794.755672783336,-12682.737431852513
77,-799.1642712550487,87077.09903444041,-16776.146504419627,-18420.45258527429,-15104.392481373845,-15729.861346466703,-1705.8627850845796,-12629.897907960167
78,-816.4198179745458,87062.16806914426,-16859.116179837725,-18473.090943466537,-15129.672304352798,-15745.753436774427,-1868.6952434414916,-12756.632299021758
79,-822.8571203776742,87063.64328427831,-16864.346488040268,-18467.905338752906,-15141.786949847574,-15749.419122865096,-1975.6706924045914,-12830.884794102287
80,-801.6006114006772,87088.63253457934,-16787.52354234738,-18414.618779971457,-15125.514879884111,-15748.189776920055,-1813.1958619589643,-12700.641179161214
81,-791.6987886069761,87090.26421192459,-16775.431248597055,-18407.935608379317,-15110.449804121234,-15738.891451226647,-1687.6014098645937,-12612.999989151955
82,-806.9203265810403,87071.71226402668,-16847.917955865618,-18451.946193211817,-15116.37301640189,-15738.243250637443,-1834.877054080612,-12730.436054520138
83,-817.8056261307748,87060.35757784339,-16860.30082229386,-18453.60022230151,-15118.250562936135,-15737.215070392498,-1981.3480354962392,-12830.951849335654
84,-809.3119632377582,87067.21956339116,-16784.573112079277,-18404.292274033105,-15110.650969821332,-15740.120797171689,-1856.5582462022599,-12730.413702775682
85,-801.734721867409,87072.24870589361,-16763.808341480297,-18404.06875658855,-15123.749092072141,-15742.713599528504,-1698.6655233699707,-12617.045654898366
86,-804.0145998018503,87066.25843837959,-16840.452473217545,-18455.74598976922,-15127.66064735182,-15745.239346651953,-1809.463120634928,-12715.66155143518
87,-800.8406520891967,87061.85514472189,-16865.15115084066,-18462.853844506008,-15108.527554098077,-15740.411369849608,-1955.263549716896,-12813.361026449327
88,-791.8105473292527,87068.89594422531,-16800.33109192027,-18417.70332070629,-15092.926036468272,-15733.281163368365,-1884.0508918822877,-12759.403915334215
89,-784.1438989810823,87077.65782805179,-16754.353553575704,-18394.904541361873,-15095.675301036275,-15729.950753444524,-1699.6490001260042,-12628.199175381564
90,-794.9174398085404,87066.1019761684,-16820.514717163413,-18442.513757051678,-15121.782138560075,-15738.131491915166,-1762.8150299567021,-12687.27483597694
91,-812.5529661837777,87052.95915042868,-16877.064630635337,-18473.00153648872,-15139.596478890953,-15751.631945566172,-1960.9632445529992,-12827.755549878544
92,-803.9251928240291,87060.2458191211,-16820.291199718857,-18433.237783102726,-15121.871545537895,-15737.460939581508,-1936.5104361188933,-12803.39214842226
93,-794.8056810862638,87068.47126108066,-16749.88320468464,-18394.01047158366,-15097.284626637058,-15725.726273742472,-1726.1581690499986,-12656.541187350893
94,-795.2527159753699,87068.33715061392,-16795.033728484363,-18428.052178389094,-15103.744280784642,-15730.151919144622,-1719.1173695465768,-12660.408039141661
95,-796.6385241315991,87064.47029882316,-16865.352316540757,-18468.21826317528,-15119.99399900365,-15734.152881402122,-1926.653316814103,-12814.165689249718
96,-789.2624484613477,87073.58981056092,-16819.687702618565,-18434.6012395145,-15108.37109188689,-15731.403616834119,-1947.4627909019937,-12816.624381139802
97,-781.2158204574372,87083.84926126592,-16747.066884883272,-18400.000739097686,-15092.635463790353,-15734.890488969148,-1754.433125785962,-12669.862827046256
98,-778.9582942674512,87082.53050834304,-16774.98421370795,-18428.58862025602,-15097.03875744805,-15728.184965632556,-1707.2709449852641,-12638.615088297736
99,-788.055454260761,87072.06989193796,-16852.18713905658,-18476.84603653503,-15109.376920387378,-15725.323942342275,-1898.9148019450668,-12779.095802199341
100,-786.0661490042388,87075.10972918388,-16832.696417891555,-18459.389324115436,-15103.632522062366,-15725.882735953659,-1973.3684627256946,-12825.96741032212
